Expedition,Skill,Level
Cold Mines,Survival Skills,1
Chomper Jungle,Survival Skills,1
Treacle Ponds,Survey Skills,1
Hermit Hills,Survival Skills,1
Must End,Rapid Restoration,2
Scruffy Bluff,Pilot Wings,2
Ginormous Rock,Rapid Restoration,2
Old Yolk Dome,Strolling Surveillance,1
Bone Bank,Rapid Restoration,1
Murky Middlesea,Survival Skills,1
Ravenous Caverns,Survival Skills,1
Soggy Grotto,Pilot Wings,1
Volcanic Springs,Pilot Wings,1
Wetlanteans Wilderness,Strolling Surveillance,1
Darkest Depths,Survival Skills,1
Wetlantean Underwater,Strolling Surveillance,1
Wetlantean Underwater,Pilot Wings,1
Slumber Yard,Survival Skills,1
Semi-Evil Castle,Survival Skills,1
Spiffinmoore's Spire,Survival Skills,1
Memory Labs,Analysis,1
Medical Labs,Analysis,2
The Moon,Survival Skills,1
Blue Cheese Moon,Survival Skills,1
Space Gibbon Circuit,Pilot Wings,1
Gibbon Moon Three,Survival Skills,1
Satelilly Pad,Survival Skills,1
Jagged Jaunt,Fish Whispering,3
Eaten Track,Strolling Surveillance,1
Parched Prairie,Survival Skills,1
Farflung Cliffs,Strolling Surveillance,1
Iceberg Dip,Survival Skills,1
